(0.5, '49')
(0.535, '106')
(0.7083333333333334, '121')
(0.5941538461538461, '104')
(0.5169811320754717, '397')
(0.7005405405405405, '478')
(0.4525974025974026, 0)
(0.7166666666666667, '319')
(0.7142857142857143, '121')
(0.471764705882353, 0)
(0.6777777777777778, '397')
(0.7109090909090909, '319')
(0.7109090909090909, '319')
(0.706984126984127, '478')
(0.45, 0)
(0.5431818181818182, '3')
(0.42315340909090904, 0)
(0.5348684210526315, '47')
(0.5074285714285715, '207')
(0.6203389830508474, '40')
(0.739344262295082, '22')
(0.5971214017521902, '339')
(0.6738916256157635, '63')
(0.5545454545454546, '64')
(0.7283018867924529, '397')
(0.5305691056910569, '339')
(0.43333333333333335, 0)
(0.5305691056910569, '339')
(0.5529411764705883, '113')
(0.6718894009216589, '207')
(0.375, 0)
(0.5472043010752689, '22')
(0.645662100456621, '398')
(0.5579831932773109, '341')
(0.6300000000000001, '63')
(0.38, 0)
(0.5945736434108526, '43')
(0.6318840579710145, '104')
(0.5649122807017544, '435')
(0.4046783625730994, 0)
(0.5956989247311828, '63')
(0.46982097186700766, 0)
(0.5888372093023255, '43')
(0.6035087719298246, '435')
(0.5920903954802259, '40')
(0.5111111111111111, '341')
(0.736842105263158, '435')
(0.7210526315789474, '40')
(0.44031007751937984, 0)
(0.6181818181818182, '81')
(0.33999999999999997, 0)
(0.4483333333333333, 0)
(0.5454545454545454, '81')
(0.4816666666666667, 0)
(0.7081081081081082, '398')
(0.7257142857142858, '398')
(0.6346153846153846, '397')
(0.7210526315789474, '40')
(0.5375, '478')
(0.37857142857142856, 0)
(0.5667857142857142, '435')
(0.6533333333333333, '121')
(0.538935574229692, '339')
(0.6941176470588235, '478')
(0.5641646489104116, '435')
(0.7290322580645161, '3')
(0.6524475524475525, '426')
(0.6738916256157635, '63')
(0.6285714285714286, '3')
(0.7375, '81')
(0.6026954177897574, '319')
(0.7010928961748635, '22')
(0.5346153846153846, '341')
(0.502906976744186, '339')
(0.7269047619047619, '121')
(0.4523452157598499, 0)
(0.6784922394678492, '426')
(0.5791666666666666, '398')
(0.5701538461538462, '341')
(0.5074285714285715, '207')
(0.5366795366795367, '398')
(0.5888372093023255, '43')
(0.42315340909090904, 0)
(0.5883870967741935, '207')
(0.7652173913043478, '104')
(0.46434782608695657, 0)
(0.6933333333333334, '121')
(0.5630952380952381, '22')
(0.5921875, '3')
(0.5571059431524548, '43')
(0.610909090909091, '319')
(0.7214285714285714, '106')
(0.6635467980295566, '40')
(0.6563049853372435, '3')
(0.4160676532769556, 0)
(0.6635467980295566, '40')
(0.6325396825396825, '397')
(0.6141414141414141, '475')
(0.7033783783783784, '15')
(0.725, '207')
(0.5906666666666667, '341')
